 Use Code,Use,TreatmentTherapeutic_Area
U-1678 ,"treatment patients cll, fl, sll",['FAMILY MEDICINE (624) ']
U-1757 ,inhibition pi3k kinase,['FAMILY MEDICINE (624) ']
U-1914 ,"combination rituximab, treatment patients relapsed chronic lymphocytic leukemia (cll)",['ONCOLOGY (263) ']
U-1558 ,treatment patients relapsed follicular b-cell non-hodgkin lymphoma [relapsed] small lymphocytic lymphoma,['ONCOLOGY (263) ']
U-1579 ,use combination prednisone treatment patients metastatic castration-resistant prostate cancer,['ONCOLOGY (263) ']
U-1580 ,use combination prednisone treatment patients metastatic castration-resistant prostate cancer received prior docetaxel chemotherapy,['ONCOLOGY (263) ']
U-2235 ,use combination prednisone treatment patients metastatic high-risk castration-sensitive prostate cancer,['FAMILY MEDICINE (624) ']
U-1351 ,treatment acute pain,['FAMILY MEDICINE (624) ']
U-2326 ,treatment nocturia due nocturnal polyuria adults,['FAMILY MEDICINE (624) ']
U-2327 ,"treatment nocturia due nocturnal polyuria adults, comprising monitoring patient's serum sodium concentration",['FAMILY MEDICINE (624) ']
U-326 ,method treating schizophrenia bipolar disorder,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1960 ,use atypical antipsychotic asenapine treatment schizophrenia adults,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1961 ,use atypical antipsychotic asenapine treatment manic mixed episodes bipolar disorder: acute monotherapy manic mixed episodes (ages 10 adult),['FAMILY MEDICINE (624) ']
U-1962 ,use atypical antipsychotic asenapine treatment manic mixed episodes bipolar disorder: maintenance monotherapy adults,['FAMILY MEDICINE (624) ']
U-1963 ,use atypical antipsychotic asenapine treatment manic mixed episodes bipolar disorder: adjunctive treatment lithium valproate adults,['FAMILY MEDICINE (624) ']
U-1064 ,treatment bipolar disorder schizophrenia,['PSYCHIATRY/PSYCHOLOGY (73) ']
U-1893 ,method treating manic mixed episodes associated bipolar disorder pediatric patients,['FAMILY MEDICINE (624) ']
U-1966 ,use atypical antipsychotic asenapine treatment manic mixed episodes bipolar disorder: acute monotherapy manic mixed episodes pediatric patients age 10-17,['FAMILY MEDICINE (624) ']
U-1421 ,sublingual administration pharmaceutical composition comprising buprenorphine,['FAMILY MEDICINE (624) ']
U-1425 ,sublingual administration pharmaceutical composition comprising buprenorphine naloxone,['FAMILY MEDICINE (624) ']
U-1494 ,sublingual buccal administration pharmaceutical composition comprising buprenorphine naloxone,['FAMILY MEDICINE (624) ']
