 Use Code,Use
U-2068 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, FOLLOWED BY FULL DAILY DOSE"
U-2069 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING A SUB-1600 MG/DAY DOSE, FOLLOWED BY ADMINISTERING AT LEAST 1602 MG/DAY"
U-2070 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN BIOMARKER ALT OR AST AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS OF LIVER FUNCTION ARE WITHIN NORMAL LIMITS, THEN SUB-1600 MG/DAY, THEN AT LEAST 1602 MG/DAY"
U-2051 ,DISCONTINUING SMOKING TO AVOID REDUCED PIRFENIDONE EFFICACY AND THEN ADMINISTERING PIRFENIDONE
U-2052 ,DISCONTINUING ADMINISTRATION OF A STRONG CYP1A2 INDUCER TO AVOID REDUCED PIRFENIDONE EFFICACY AND THEN ADMINISTERING PIRFENIDONE
U-2053 ,"ADMINISTERING PIRFENIDONE WHILE AVOIDING CONCOMITANT ADMINISTRATION OF A STRONG INDUCER OF CYP1A2, INCLUDING CIGARETTE SMOKE, TO AVOID REDUCED PIRFENIDONE EFFICACY"
U-2044 ,"DOSE REDUCTION OF PIRFENIDONE BY ABOUT ONE HALF DURING CONCURRENT ADMINISTRATION OF CIPROFLOXACIN AT A DOSE OF 750 MG TWICE DAILY (1500 MG/DAY) TO REDUCE DRUG INTERACTIONS IN TREATMENT OF A FIBROTIC, INFLAMMATORY, OR AUTOIMMUNE DISORDER"
U-2045 ,"ADMINISTRATION OF PIRFENIDONE AND AVOIDING CONCURRENT ADMINISTRATION OF CIPROFLOXACIN AT A DOSE OF 750 MG TO REDUCE DRUG INTERACTIONS IN TREATMENT OF A FIBROTIC, INFLAMMATORY, OR AUTOIMMUNE DISORDER"
U-2077 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY ADMINISTERING SUB-2400 MG/DAY DOSE THEN FULL DAY DAILY DOSE IN TREATMENT OF IPF"
U-2078 ,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN LIMITS, THEN SUB-2400MG/DAY DOSE, THEN FULL DAILY DOSE IN TREATMENT OF IPF"
U-1625 ,METHOD OF TREATING SCHIZOPHRENIA BY ADMINISTERING ILOPERIDONE TO A PATIENT BY REDUCING THE DOSE IN PATIENTS WHO ARE POOR METABOLIZERS OF CYP2D6
U-1685 ,DOSAGE MODIFICATION TO REDUCE THE RISK ASSOCIATED WITH QT PROLONGATION NOT INDUCED BY OTHER DRUGS DURING TREATMENT WITH ILOPERIDONE
U-1674 ,DOSAGE MODIFICATION TO REDUCE RISKS ASSOCIATED WITH QT PROLONGATION NOT INDUCED BY OTHER DRUGS DURING TREATMENT WITH ILOPERIDONE
U-1737 ,METHOD OF TREATING SCHIZOPHRENIA BY ADMINISTERING ILOPERIDONE TO A PATIENT BY REDUCING THE DOSE IN PATIENTS WHO ARE BEING TREATED WITH FLUOXETINE
U-2212 ,REDUCING FASTING PLASMA GLUCOSE IN A HUMAN IN NEED THEREOF IN COMBINATION WITH A SUSTAINED-RELEASE COMPOSITION CONTAINING EXENDIN-4
U-2213 ,REDUCING HBA1C IN A HUMAN IN NEED THEREOF IN COMBINATION WITH A SUSTAINED-RELEASE COMPOSITION CONTAINING EXENDIN-4
U-106 ,TREATMENT OF EPILEPSY
U-2088 ,TREATMENT OF PARTIAL-ONSET SEIZURES WITH OR WITHOUT SECONDARILY GENERALIZED SEIZURES IN PATIENTS WITH EPILEPSY
U-2089 ,TREATMENT OF PRIMARY GENERALIZED TONIC-CLONIC SEIZURES AS ADJUNCTIVE THERAPY IN PATIENTS WITH EPILEPSY
U-2428 ,TREATMENT OF PARTIAL-ONSET SEIZURES WITH OR WITHOUT SECONDARILY GENERALIZED SEIZURES IN PATIENTS WITH EPILEPSY 4 YEARS OF AGE AND OLDER
U-2429 ,TREATMENT OF PRIMARY GENERALIZED TONIC-CLONIC SEIZURES AS ADJUNCTIVE THERAPY IN PATIENTS WITH EPILEPSY 12 YEARS OF AGE AND OLDER
U-1279 ,TREATMENT OF HIV INFECTION USING A COMPOSITION CONTAINING A PHARMACOKINETIC ENHANCER THAT INHIBITS CYTOCHROME P450 MONOOXYGENASE
U-1950 ,TREATMENT OF PATIENTS WITH ADVANCED (METASTATIC) NON-SMALL CELL LUNG CANCER WHOSE DISEASE PROGRESSED DURING OR AFTER PLATINUM-BASED CHEMOTHERAPY
U-649 ,A METHOD FOR TREATING A TUMOR DISEASE
U-791 ,GLEEVEC IS ALSO INDICATED FOR THE TREATMENT OF PATIENTS WITH KIT (CD117) POSITIVE UNRESECTABLE AND/OR METASTATIC MALIGNANT GASTROINTESTINAL STROMAL TUMORS (GIST)
U-1883 ,TREATMENT OF GASTROINTESTINAL STROMAL TUMORS (GIST)
U-1652 ,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN AND METFORMIN
U-1651 ,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN
U-1653 ,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN (WITH OR WITHOUT METFORMIN)
U-1654 ,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN (WITH OR WITHOUT INSULIN OR A SULFONYLUREA)
U-1772 ,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING LINAGLIPTIN IN COMBINATION WITH EMPAGLIFLOZIN
U-1114 ,"TREATMENT WITH GABAPENTIN, INCLUDING TREATMENT OF NEUROPATHIC PAIN, INCLUDING NEUROPATHIC PAIN ASSOCIATED WITH POSTHERPETIC NEURALGIA"
U-2369 ,"FOR THE TREATMENT OF GENOTYPE 1, 4, 5 OR 6 CHRONIC HEPATITIS C VIRUS (HCV) INFECTION"
U-2370 ,FOR TREATMENT-NAIVE GENOTYPE 1 PATIENTS WITH CHRONIC HEPATITIS C VIRUS (HCV) INFECTION FOR A DURATION OF 8-WEEKS
U-1699 ,A METHOD FOR TREATING ACUTE LYMPHOBLASTIC LEUKEMIA
U-1700 ,A METHOD FOR TREATING PHILADELPHIA CHROMOSOME POSITIVE ACUTE LYMPHOBLASTIC LEUKEMIA
U-1701 ,A METHOD FOR TREATING LEUKEMIA RESULTING FROM A MUTATION IN THE BCR-ABL KINASE DOMAIN
U-1948 ,A METHOD FOR TREATING CHRONIC MYELOID LEUKEMIA
U-2087 ,TREATMENT OF RELAPSED OR REFRACTORY ACUTE MYELOID LEUKEMIA (AML) WITH AN ISOCITRATE DEHYDROGENASE-2 (IDH2) MUTATION
U-2243 ,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA/SMALL LYMPHOCYTIC LYMPHOMA WITH 17P DELETION
U-256 ,TREATMENT OF HIV INFECTION IN COMBINATION WITH ONE OR MORE ADDITIONAL HIV ANTIVIRAL AGENTS
U-1016 ,"IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN TREATMENT-EXPERIENCED ADULT PATIENTS, WHO HAVE EVIDENCE OF VIRAL REPLICATION AND HIV-1 STRAINS RESISTANT TO AN NNRTI AND OTHER ANTIRETROVIRAL AGENTS"
U-1237 ,"COMBO W/ OTHER ANTIRETROVIRALS FOR TX OF HIV-1 IN ANTIRETROVIRAL TX-EXPERIENCED PT 6 YEARS UP, WHO HAVE EVIDENCE OF VIRAL REPLICATION AND HIV-1 STRAINS RESISTANT TO NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITOR AND OTHER  ANTIRETROVIRALS"
U-2354 ,COMBINATION WITH OTHER ANTIRETROVIRALS (ATV) FOR TREATMENT OF HIV-1 IN ATV TREATMENT-EXPERIENCED PATIENTS 2 YEARS AND OLDER WITH EVIDENCE OF VIRAL REPLICATION AND HIV-1 STRAINS RESISTANT TO NON-NUCLEOSIDE REVERSE TRANSCRIPTASE INHIBITOR AND OTHER ATV
U-900 ,INTEGRASE INHIBITION FOR THE TREATMENT OF HIV INFECTION
U-1201 ,FOR THE TREATMENT OF INTERMEDIATE OR HIGH-RISK MYELOFIBROSIS
U-1622 ,FOR THE TREATMENT OF POLYCYTHEMIA VERA
U-1573 ,USE OF RUXOLITINIB (JAKAFI) FOR INHIBITING JANUS ASSOCIATED KINASES (JAKS) JAK1 AND/OR JAK2.
U-1721 ,USE OF RUXOLITINIB (JAKAFI) FOR BLOCKING SIGNAL TRANSDUCTION OF JANUS ASSOCIATED KINASES (JAKS) JAK1 AND/OR JAK2
U-2292 ,METHOD OF REDUCING THE RISK OF CARDIOVASCULAR DEATH IN ADULT PATIENTS WITH TYPE 2 DIABETES MELLITUS AND CARDIOVASCULAR DISEASE BY ONCE DAILY ADMINISTRATION OF 10 MG OR 25 MG OF EMPAGLIFLOZIN
U-2307 ,TREATMENT OF AUTOSOMAL DOMINANT POLYCYSTIC KIDNEY DISEASE
U-1335 ,METHODS OF MODIFYING GLUCOSE METABOLISM AND TREATING DIABETES COMPRISING ADMINISTERING A DIPEPTIDYL PEPTIDASE INHIBITOR AND ONE OR MORE OTHER THERAPEUTIC AGENTS SUCH AS METFORMIN
U-1336 ,METHODS OF TREATING DIABETES COMPRISING ADMINISTERING A DIPEPTIDYL PEPTIDASE INHIBITOR AND METFORMIN
U-1337 ,METHOD OF TREATING DIABETES COMPRISING ADMINISTERING ALOGLIPTIN
U-1338 ,METHOD OF TREATING DIABETES COMPRISING ADMINISTERING A COMPOUND SUCH AS ALOGLIPTIN
U-2355 ,"IN COMBINATION WITH AN AROMATASE INHIBITOR FOR THE TREATMENT OF PRE/PERIMENOPAUSAL OR POSTMENOPAUSAL WOMEN WITH HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER, AS INITIAL ENDOCRINE-BASED THERAPY"
U-2356 ,"IN COMBINATION WITH FULVESTRANT FOR THE TREATMENT OF POSTMENOPAUSAL WOMEN WITH HR-POSITIVE, HER2-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER, AS INITIAL ENDOCRINE BASED THERAPY OR FOLLOWING DISEASE PROGRESSION ON ENDOCRINE THERAPY"
U-1643 ,TREATING CUSHING'S SYNDROME
U-1770 ,TREATMENT OF SCHIZOPHRENIA WITH IMPROVEMENT IN NEGATIVE SYMPTOMS AND/OR COGNITIVE DYSFUNCTION OF SCHIZOPHRENIA
U-1822 ,TREATMENT OF SCHIZOPHRENIA OR BIPOLAR DEPRESSION WITH IMPROVEMENT IN ATTENTION FUNCTION IN SCHIZOPHRENIA AND/OR BIPOLAR DISORDER
U-2166 ,TREATMENT OF MAJOR DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR I DISORDER
U-2199 ,TREATMENT OF SCHIZOPHRENIA WITH IMPROVEMENT IN ATTENTION FUNCTION IN SCHIZOPHRENIA
U-2201 ,TREATMENT OF BIPOLAR DEPRESSION WITH IMPROVEMENT IN ATTENTION FUNCTION IN BIPOLAR DISORDER
U-1754 ,FOR THE TREATMENT OF PULMONARY HYPERTENSION (PAH) IN COMBINATION WITH TADALAFIL
U-1965 ,"FOR THE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) IN COMBINATION WITH TADALAFIL, WHEREIN THE WEIGHT RATIO OF AMBRISENTAN TO TADALAFIL IS ABOUT 1:2 TO ABOUT 1:3"
U-1751 ,"TREATMENT OF PATIENTS WITH METASTATIC COLORECTAL CANCER WHO HAVE BEEN PREVIOUSLY TREATED WITH FLUOROPYRIMIDINE-, OXALIPLATIN- AND IRINOTECAN-BASED CHEMOTHERAPY, AN ANTI-VEGF BIOLOGICAL THERAPY, AND IF RAS WILD-TYPE, AN ANTI-EGFR THERAPY"
U-2101 ,"MAINTENANCE TREATMENT OF RECURRENT EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER, WHO ARE IN A COMPLETE OR PARTIAL RESPONSE TO PLATINUM-BASED CHEMOTHERAPY"
U-2103 ,"MAINTENANCE TREATMENT OF BRCA-MUTATED RECURRENT EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER, WHO ARE IN A COMPLETE OR PARTIAL RESPONSE TO PLATINUM-BASED CHEMOTHERAPY"
U-2480 ,"MAINTENANCE TREATMENT OF GBRCA- OR SBRCA-MUTATED ADVANCED EPITHELIAL OVARIAN, FALLOPIAN TUBE OR PRIMARY PERITONEAL CANCER WHO ARE IN A COMPLETE OR PARTIAL RESPONSE TO FIRST-LINE PLATINUM-BASED CHEMOTHERAPY"
U-2481 ,TREATMENT OF DELETERIOUS OR SUSPECTED DELETERIOUS GERMLINE BRCA-MUTATED ADVANCED OVARIAN CANCER WHO HAVE BEEN TREATED WITH THREE OR MORE PRIOR LINES OF CHEMOTHERAPY
U-2482 ,"TREATMENT OF HR-NEGATIVE, HER-2 NEGATIVE, GBRCA-MUTATED METASTATIC BREAST CANCER, WHO HAVE BEEN TREATED WITH CHEMOTHERAPY IN THE NEOADJUVANT, ADJUVANT, OR METASTATIC SETTING"
U-2483 ,"TREATMENT OF HR-POSITIVE, HER-2 NEGATIVE, GBRCA-MUTATED METASTATIC BREAST CANCER, WHO HAVE BEEN TREATED WITH CHEMOTHERAPY IN THE NEOADJUVANT, ADJUVANT, OR METASTATIC SETTING, AND WITH ENDOCRINE THERAPY OR ARE INAPPROPRIATE FOR ENDOCRINE THERAPY"
U-2141 ,"TREATMENT OF CHRONIC HEPATITIS C VIRUS (HCV) GENOTYPE 1, 2, 3, 4, 5, OR 6"
U-1712 ,MEKINIST IN COMBINATION WITH DABRAFENIB FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA
U-2033 ,"MEKINIST IS INDICATED, AS A SINGLE AGENT OR IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS"
U-1581 ,IN COMBINATION WITH DABRAFENIB FOR THE TREATMENT OF UNRESECTABLE OR METASTATIC MELANOMA.
U-1582 ,TREATMENT OF UNRESECTABLE OR METASTATIC MELANOMA
U-2020 ,"MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WITH BRAF V600E MUTATION AS DETECTED BY AN FDA-APPROVED TEST"
U-2037 ,"MEKINIST IS INDICATED, AS A SINGLE AGENT OR IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATIONS, AS DETECTED BY AN FDA-APPROVED TEST"
U-2302 ,"MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE ADJUVANT TREATMENT OF PATIENTS WITH MELANOMA WITH BRAF V600E OR V600K MUTATIONS,  AS DETECTED BY AN FDA-APPROVED TEST, AND INVOLVEMENT OF LYMPH NODE(S), FOLLOWING COMPLETE RESECTION"
U-2305 ,"MEKINIST IS INDICATED, IN COMBINATION WITH DABRAFENIB, FOR THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC ANAPLASTIC THYROID CANCER (ATC) WITH BRAF V600E MUTATION AND WITH NO SATISFACTORY LOCOREGIONAL TREATMENT OPTIONS"
U-2331 ,INDICATED IN COMBINATION WITH ENCORAFENIB FOR THE TREATMENT OF MELANOMA
U-2330 ,METHOD OF TREATING MELANOMA
U-2332 ,INDICATED IN COMBINATION WITH ENCORAFENIB FOR THE TREATMENT OF MELANOMA MEDIATED BY A B-RAF PROTEIN KINASE
U-2333 ,INDICATED IN COMBINATION WITH ENCORAFENIB FOR THE TREATMENT OF MELANOMA WITH A BRAF MUTATION
U-1185 ,TREATMENT OF OPIOID-INDUCED CONSTIPATION
U-2344 ,TREATMENT OF THROMBOCYTOPENIA IN ADULT PATIENTS WITH CHRONIC LIVER DISEASE WHO ARE SCHEDULED TO UNDERGO A PROCEDURE
U-2043 ,"EXTENDED ADJUVANT TREATMENT OF ADULT PATIENTS WITH EARLY STAGE HER2-OVEREXPRESSED/AMPLIFIED BREAST CANCER, TO FOLLOW ADJUVANT TRASTUZUMAB BASE THERAPY"
U-1459 ,TREATMENT OF CARCINOMA OF THE THYROID
U-1696 ,TREATMENT OF UNRESECTABLE HEPATOCELLULAR CARCINOMA
U-1624 ,"TREATMENT OF UNRESECTABLE HEPATOCELLULAR CARCINOMA, ADVANCED RENAL CELL CARCINOMA, OR DIFFERENTIATED THYROID CARCINOMA."
U-2107 ,"TREATMENT OF LOCALLY RECURRENT OR METASTATIC, PROGRESSIVE, DIFFERENTIATED THYROID CARCINOMA REFRACTORY TO RADIOACTIVE IODINE TREATMENT"
U-2444 ,TREATMENT OF SUBJECTS HAVING BACTERIAL SKIN OR SKIN STRUCTURE INFECTION
U-1854 ,TREATMENT OF PRIMARY BILIARY CHOLANGITIS (PBC)
U-995 ,METHOD FOR TREATING TYPE II DIABETES BY ADMINISTERING SAXAGLIPTIN
U-1837 ,"METHOD FOR TREATING TYPE II DIABETES MELLITUS BY ADMINISTERING SAXAGLIPTIN ALONE OR IN COMBINATION WITH INSULIN, METFORMIN, A THIAZOLIDINEDIONE, GLYBURIDE OR METFORMIN PLUS A SULFONYLUREA"
U-1446 ,METHOD OF TREATING PULMONARY HYPERTENSION COMPRISING ADMINISTERING MACITENTAN IN COMBINATION WITH A COMPOUND HAVING PHOSPHODIESTERASE-5 INHIBITORY PROPERTIES
U-1445 ,"METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION BY ADMINISTERING A PHARMACEUTICAL COMPOSITION COMPRISING MACITENTAN AND A POLYSORBATE, WHERIN THE POLYSORBATE REPRESENTS 0.1 TO 1% OF THE WEIGHT OF SAID PHARMACEUTICAL COMPOSITION"
U-1820 ,"METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION BY ADMINISTERING A PHARMACEUTICAL COMPOSITION COMPRISING MACITENTAN AND A POLYSORBATE, WHEREIN THE POLYSORBATE REPRESENTS 0.1 TO 3% OF THE WEIGHT OF SAID PHARMACEUTICAL COMPOSITION"
U-2360 ,MANAGEMENT OF MODERATE TO SEVERE PAIN ASSOCIATED WITH ENDOMETRIOSIS
U-2411 ,"TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 12 YEARS OR OLDER WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING THE TABLET COMPRISING LUMACAFTOR AS RECITED IN CLAIM 1, 19, OR 21 OF U.S. PATENT NO. 10,076,513 AND IVACAFTOR"
U-1973 ,"METHOD OF TREATING CYSTIC FIBROSIS USING N-(5-HYDROXY-2,4-DITERT-BUTYL-PHENYL)-4-OXO-1H-QUINOLINE-3-CARBOXAMIDE AND 3-(6-(1-2,2-DIFLUOROBENZO[D][1,3]DIOXOL-5-YL) CYCLOPROPANECARBOXAMIDO)-3-METHYLPYRIDIN-2-YL)BENZOIC ACID"
U-1911 ,METHOD OF TREATING A PATIENT HAVING CYSTIC FIBROSIS USING IVACAFTOR AND LUMACAFTOR
U-1718 ,METHOD OF TREATING CYSTIC FIBROSIS IN PATIENTS WHO HAVE THE F508DEL MUTATION IN THE CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (CFTR) GENE.
U-1910 ,"METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING THE DOSAGE UNIT OF CLAIM 1 OF U.S. PATENT NO. 8,716,338"
U-1717 ,METHOD OF TREATING CYSTIC FIBROSIS IN PATIENTS WHO ARE HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CYSTIC FIBROSIS TRANSMEMBRANE CONDUCTANCE REGULATOR (CFTR) GENE
U-1909 ,"METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING IVACAFTOR AND LUMACAFTOR"
U-1908 ,"METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING IVACAFTOR AND FORM I LUMACAFTOR"
U-1912 ,"METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING A DOSAGE UNIT AS DEFINED IN CLAIM 1 OF U.S. PATENT NO. 9,192,606"
U-2276 ,METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT AGE 6 OR OLDER HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR AND A SOLID COMPOSITION COMPRISING AMORPHOUS (LESS THAN ABOUT 30% CRYSTALLINE) IVACAFTOR
U-1334 ,METHODS OF TREATING DIABETES  COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH AN INSULIN SECRETION ENHANCER
U-905 ,"TREATMENT OF MODERATE TO SEVERE VAGINAL DRYNESS AND PAIN WITH INTERCOURSE, SYMPTOMS OF VULVAR AND VAGINAL ATROPHY, ASSOCIATED WITH MENOPAUSE"
U-1370 ,TREATMENT OF DYSPAREUNIA ASSOCIATED WITH MENOPAUSE
U-1369 ,TREATMENT OF VAGINAL SYMPTOMS OF UROGENITAL ATROPHY BY ORALLY ADMINISTERING OSPEMIFENE WITH FOOD TO ENHANCE BIOAVAILABILITY OF OSPEMIFENE
U-2403 ,TREATMENT OF PSORIASIS USING A DOSAGE TITRATION SCHEDULE
U-1504 ,USE OF OTEZLA (APREMILAST) FOR INHIBITING PDE4
U-1505 ,USE OF OTEZLA (APREMILAST) FOR THE TREATMENT OF PSORIATIC ARTHRITIS
U-1595 ,USE OF OTEZLA (APREMILAST) FOR THE TREATMENT OF PSORIASIS
U-1561 ,USE OF OTEZLA (APREMILAST) FOR THE TREATMENT OF PSORIATIC ARTHRITIS
U-2232 ,TREATMENT OF PSORIATIC ARTHRITIS USING A DOSAGE TITRATION SCHEDULE
U-2233 ,TREATMENT OF PSORIATIC ARTHRITIS WITH APREMILAST USING A DOSAGE TITRATION SCHEDULE AND A SECOND ACTIVE AGENT
U-2394 ,FOR USE IN COMBINATION WITH OTHER ANTIRETROVIRAL AGENTS FOR THE TREATMENT OF HIV-1 INFECTION IN ADULT PATIENTS WITH NO PRIOR ANTIRETROVIRAL TREATMENT HISTORY
U-3 ,TREATMENT OF HYPERTENSION
U-1306 ,TREATMENT OF THROMBOCYTOPENIA IN PATIENTS WITH CHRONIC HEPATITIS C TO ALLOW THE INITIATION AND MAINTENANCE OF INTERFERON-BASED THERAPY
U-2451 ,TREATMENT OF THROMBOCYTOPENIA IN ADULT AND PEDIATRIC PATIENTS 1 YEAR AND OLDER WITH CHRONIC IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-930 ,TREATMENT OF IDIOPATHIC THROMBOCYTOPENIC PURPURA (ITP)
U-1575 ,PATIENTS WITH SEVERE APLASTIC ANEMIA WHO HAVE HAD AN INSUFFICIENT RESPONSE TO IMMUNOSUPPRESSIVE THERAPY
U-1714 ,TREATMENT OF THROMBOCYTOPENIA IN ADULT AND PEDIATRIC PATIENTS 6 YEARS AND OLDER WITH CHRONIC IMMUNE (IDIOPATHIC) THROMBOCYTOPENIA (ITP)
U-2452 ,COMBINATION WITH IMMUNOSUPPRESSIVE THERAPY FOR FIRST-LINE TREATMENT OF ADULT AND PEDIATRIC PATIENTS 2 YEARS AND OLDER WITH SEVERE APLASTIC ANEMIA
U-1976 ,METHOD FOR TREATING TYPE 2 DIABETES MELLITUS (T2DM) IN PATIENTS WHO HAVE INADEQUATE CONTROL WITH DAPAGLIFLOZIN
U-1977 ,METHOD FOR TREATING TYPE 2 DIABETES MELLITUS (T2DM) IN PATIENTS WHO ARE ALREADY TREATED WITH DAPAGLIFLOZIN AND SAXAGLIPTIN
U-2012 ,"A METHOD FOR TREATING OVARIAN CANCER BY ADMINISTERING RUCAPARIB, WHEREIN THE CANCER IS ASSOCIATED WITH A DELETERIOUS BRCA MUTATION"
U-2273 ,"A METHOD FOR TREATING EPITHELIAL OVARIAN, FALLOPIAN TUBE, OR PRIMARY PERITONEAL CANCER, WHEREIN THE CANCER IS ASSOCIATED WITH A DELETERIOUS BRCA MUTATION"
U-2214 ,AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES
U-1098 ,METHOD OF TREATING HYPERPARATHYROIDISM; METHOD OF TREATING HYPERCALCEMIA
U-2405 ,A METHOD FOR TREATING A BACTERIAL INFECTION IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE
U-2406 ,A METHOD FOR TREATING A PATIENT 9 YEARS OF AGE AND OLDER SUFFERING FROM AN INFLAMMATORY SKIN DISORDER OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE
U-2407 ,A METHOD FOR TREATING ACNE IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE CRYSTALLINE SALT
U-2408 ,A METHOD FOR TREATING A BACTERIAL INFECTION IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING AN EFFECTIVE AMOUNT OF SARECYCLINE HYDROCHLORIDE CRYSTALLINE SALT
U-2409 ,"A METHOD FOR TREATING ACNE IN INFLAMMATORY LESIONS OF NON-NODULAR MODERATE TO SEVERE ACNE VULGARIS PATIENTS 9 YEARS OF AGE AND OLDER COMPRISING ADMINISTERING SARECYCLINE HYDROCHLORIDE IN 60 MG, 100 MG OR 150 MG EQUIVALENT DOSES"
U-1321 ,TREATMENT OF PULMONARY MULTI-DRUG RESISTANT TUBERCULOSIS
U-1958 ,"FOR THE TREATMENT OF GENOTYPE 1, 2, 3 OR 4 CHRONIC HEPATITIS C VIRUS (HCV) INFECTION AS A COMPONENT OF A COMBINATION ANTIVIRAL TREATMENT REGIMEN WITH RIBAVIRIN"
U-748 ,A METHOD FOR THE TREATMENT OF A PROTEIN TYROSINE KINASE-ASSOCIATED DISORDER
U-780 ,A METHOD FOR THE TREATMENT OF CANCER
